Kode_Bahan,Sumber,Nama_Bahan,Kelompok_Pangan,Jenis_Pangan,Air(g),Energi(Kal),Protein(g),Lemak(g),KH(g),Serat(g),Kalsium(g),Fosfor(g),Besi(g),Natrium(g),Kalium(g),Tembaga(g),Thiamin(g),Riboflavin(g),VITC(g)
FP082,KZGPI-1990,"Soto pemalang, masakan","Daging, Unggas",Olahan/Produk,86,75,3.6,5.2,3.5,0,0.17,0.08,0.0021,0,0,0,0.0001,0,0
FP083,KZGPI-1990,"Soto sukaraja, masakan","Daging, Unggas",Olahan/Produk,75.9,80,3.2,3.5,9,0.3,0.347,0.077,0.0023,0,0,0,0,0,0
FP084,KZGPI-1990,"Soto sulung, masakan","Daging, Unggas",Olahan/Produk,88.1,86,2.3,8.5,0,0,0.2,0.12,0.0029,0,0,0,0.0001,0,0
FP085,KZGMS-1993,"Sukiyaki, masakan","Daging, Unggas",Olahan/Produk,81,75,5.6,0.4,12.2,0.2,0.109,0.059,0.0005,0.426,0,0,0.0004,0,0
FP086,KZGMI-2001,"Tedong pallu basa, masakan","Daging, Unggas",Olahan/Produk,81.7,83,10.4,3.4,2.8,0,0.01,0.139,0.0026,0.397,0.034,0.0006,0.0001,0.0005,0
FP087,KZGMI-2001,"Tikus rica, masakan","Daging, Unggas",Olahan/Produk,54.9,257,18.8,18.5,3.8,0,0.232,0.293,0.0065,1.724,0.308,0.0005,0.0003,0.0004,0
FP088,KZGMI-2001,"Tinoransa, masakan","Daging, Unggas",Olahan/Produk,31.6,516,17.7,49.5,0,0,0.698,0.648,0.0035,1.307,0.32,0.0001,0.0003,0.0002,0
GR001,KZGMI-2001,"Belut, segar","Ikan, Kerang, Udang",Tunggal/Single,81.5,70,14.6,0.8,1,0,0.049,0.155,0.0015,0.055,0.169,0.0002,0.0002,0.0001,0
GR002,KZGPI- 1990,"Belut,laut, segar","Ikan, Kerang, Udang",Tunggal/Single,79.5,93,12.8,1.5,6.1,0,0.06,0.199,0.003,0.033,0.1759,0.0001,0.0001,0,0
GR003,KZGPI- 1990,"Cumi-cumi, segar","Ikan, Kerang, Udang",Tunggal/Single,82.2,75,16.1,0.7,0.1,0,0.032,0.2,0.0018,0.037,0.2041,0.0016,0.0001,0,0
GR004,DABM- 1964,"Ikan bader, segar","Ikan, Kerang, Udang",Tunggal/Single,66,193,19,13,0,0,0.048,0.15,0.0004,0.118,0.2649,0.0001,0,0.0001,0
GR005,KZGPI- 1990,"Ikan balong, segar","Ikan, Kerang, Udang",Tunggal/Single,76.5,107,16.5,3.9,1.5,0,0.054,0.202,0.002,0.086,0.2534,0.0005,0.0001,0.0001,0
GR006,KZGPI- 1990,"Ikan bambangan, segar","Ikan, Kerang, Udang",Tunggal/Single,73.7,112,20,1.3,3.7,0,0.098,0.12,0.003,0.148,0.2587,0,0.0001,0,0
GR007,DABM- 1964,"Ikan bandeng, segar","Ikan, Kerang, Udang",Tunggal/Single,74,123,20,4.8,0,0,0.02,0.15,0.002,0.067,0.2711,0,0.0001,0.0001,0
GR008,KZGPI- 1990,"Ikan banjar, segar","Ikan, Kerang, Udang",Tunggal/Single,73.5,111,19.4,0.9,4.8,0,0.068,0.278,0.0073,0.099,0.3387,0.0002,0,0.0002,0
GR009,KZGMI-2001,"Ikan baronang, segar","Ikan, Kerang, Udang",Tunggal/Single,80,78,14.5,0.6,3.7,0,0.026,0.521,0.0038,0.026,0.692,0.0047,0.0002,0,0
GR010,KZGMI-2001,"Ikan batung, segar","Ikan, Kerang, Udang",Tunggal/Single,75.7,115,14.5,4.6,4.2,0,0,0.207,0,0.042,0.361,0.0002,0.0012,0,0
GR011,KZGMI-2001,"Ikan baung, segar","Ikan, Kerang, Udang",Tunggal/Single,74.9,123,15.1,5.5,3.3,0,0.005,0.146,0.0013,0.032,0.349,0.0001,0.0002,0,0
GR012,DABM- 1964,"Ikan bawal, segar","Ikan, Kerang, Udang",Tunggal/Single,78,91,19,1.7,0,0,0.02,0.15,0.002,0.129,0.2333,0.0001,0.0001,0.0001,0
GR013,KZGMI-2001,"Ikan Belida, segar","Ikan, Kerang, Udang",Tunggal/Single,79.2,80,14.7,1.4,2.2,0,0.303,0.315,0.0013,0.041,0.356,0,0.0012,0.0001,0
GR014,DABM- 1964,"Ikan beunteur, segar","Ikan, Kerang, Udang",Tunggal/Single,70,109,17,4,0,0,0.5,0.5,0.001,0.109,0.3235,0.0006,0.0001,0.0001,0
GR015,KZGMI-2001,"Ikan biawan, segar","Ikan, Kerang, Udang",Tunggal/Single,79.1,90,14.9,2.5,2.1,0,0.125,0.265,0.001,0.035,0.207,0.0004,0.0004,0,0
GR016,KZGMI-2001,"Ikan bili, segar","Ikan, Kerang, Udang",Tunggal/Single,68.3,88,14.2,0.7,6.2,0,0.027,1.76,0.0015,0.217,0.202,0,0.0007,0.0001,0
GR017,KZGMI-2001,"Ikan bubara, segar","Ikan, Kerang, Udang",Tunggal/Single,75.5,100,14.7,2.4,4.9,0,0.09,0.09,0.0004,0.39,0.39,0.0007,0,0,0
GR018,KZGMI-2001,"Ikan bulan-bulan, segar","Ikan, Kerang, Udang",Tunggal/Single,66.7,134,25.5,1.3,5,0,0.029,0.029,0.0005,0.197,0.489,0.0001,0.0003,0,0
GR019,KZGMI-2001,"Ikan cakalang, segar","Ikan, Kerang, Udang",Tunggal/Single,73,107,19.6,0.7,5.5,0,0.023,0.242,0.0029,0.066,0.239,0.0002,0.0002,0.0001,0
GR020,KZGMI-2001,"Ikan cakalang, hati, segar","Ikan, Kerang, Udang",Tunggal/Single,73.4,120,11.3,3.9,10,0,0.03,0.03,0.0009,0.42,0.28,0.0016,0,0,0
GR021,KZGMI-2001,"Ikan cakalang, jantung, segar","Ikan, Kerang, Udang",Tunggal/Single,76.3,116,11.2,1.2,10.2,0,0.01,0.04,0.0034,0.36,0.25,0.0005,0,0,0
GR022,KZGMI-2001,"Ikan cakalang, perut, segar","Ikan, Kerang, Udang",Tunggal/Single,79.1,86,10.2,1.1,8.7,0,0.02,0.11,0.0021,0.23,0.21,0.0003,0.0002,0,0
GR023,KZGMI-2001,"Ikan daun, segar","Ikan, Kerang, Udang",Tunggal/Single,78.6,101,11.5,4.1,4.6,0,0.08,0.21,0.0008,0.12,0.27,0.0001,0.0001,0.0001,0
GR024,KZGMI-2001,"Ikan ekor kuning, segar","Ikan, Kerang, Udang",Tunggal/Single,74.1,108,22.3,1.2,2.1,0,0.03,0.22,0.0005,0.05,0.23,0.0001,0,0.0001,0
GR025,KZGMI-2001,"Ikan gabus, segar","Ikan, Kerang, Udang",Tunggal/Single,79.6,80,16.2,0.5,2.6,0,0.17,0.139,0.0001,0.065,0.254,0.0003,0.0004,0.0002,0
GR026,KZGMI-2001,"Ikan heu, segar","Ikan, Kerang, Udang",Tunggal/Single,75.6,81,10,1.6,6.6,0,1.91,0.99,0.0021,0.24,0.21,0.0001,0.0009,0,0
GR027,KZGMI-2001,"Ikan hitam, segar","Ikan, Kerang, Udang",Tunggal/Single,78.2,101,10.3,3.7,6.7,0,0.05,0.14,0.0004,0.07,0.21,0,0,0.0001,0
GR028,KZGPI- 1990,"Ikan hiu, segar","Ikan, Kerang, Udang",Tunggal/Single,85.7,57,10.7,0.3,2.2,0,0.075,0.206,0.002,0,0,0,0.0001,0,0
GR029,KZGPI- 1990,"Ikan kacangan, segar","Ikan, Kerang, Udang",Tunggal/Single,80.7,77,15.6,0.9,1.6,0,0.094,0.17,0.0017,0,0,0,0.0001,0,0
GR030,DABM- 1964,"Ikan kakap, segar","Ikan, Kerang, Udang",Tunggal/Single,77,92,20,0.7,0,0,0.02,0.2,0.001,0,0,0,0.0001,0,0
GR031,KZGMI-2001,"Ikan kakatua, segar","Ikan, Kerang, Udang",Tunggal/Single,79.7,82,11.4,1.2,6.4,0,0.02,0.16,0.0004,0.09,0.3,0.0001,0,0,0
GR032,KZGMI-2001,"Ikan kalaban, segar","Ikan, Kerang, Udang",Tunggal/Single,80.3,77,16.4,0.7,1.3,0,0.182,0.248,0.0009,0.04,0.334,0.0007,0.0002,0.0002,0
GR033,KZGMI-2001,"Ikan kamera (kakap merah), segar","Ikan, Kerang, Udang",Tunggal/Single,78.5,86,19.7,0.8,0,0,0.05,0.17,0.0003,0.09,0.29,0.0003,0,0.0001,0
GR034,KZGMI-2001,"Ikan kapar, segar","Ikan, Kerang, Udang",Tunggal/Single,74.2,132,17,6.7,0.8,0,0.151,0.272,0.0012,0.078,0.229,0.0009,0.0001,0,0
GR035,KZGMI-2001,"Ikan kawalinya, segar","Ikan, Kerang, Udang",Tunggal/Single,76.1,110,12.6,4.2,5.4,0,0.08,0.3,0.0015,0.34,0.3,0.0002,0,0,0
GR036,KZGPI- 1990,"Ikan keru-keru, segar","Ikan, Kerang, Udang",Tunggal/Single,77.2,93,16.5,2.1,0.8,0,0.065,0.217,0.0024,0.137,0.2553,0.0003,0,0.0001,0
GR037,KZGMI-2001,"Ikan kima, segar","Ikan, Kerang, Udang",Tunggal/Single,82.1,70,10.8,0.7,5.2,0,0.053,0.072,0.002,0.342,0.101,0.0005,0.0002,0.0001,0
GR038,KZGPI- 1990,"Ikan lais, segar","Ikan, Kerang, Udang",Tunggal/Single,65,161,11.9,11.5,2.4,0,0.07,0.237,0,0,0,0,0.0001,0,0
GR039,DABM- 1964,"Ikan layang, segar","Ikan, Kerang, Udang",Tunggal/Single,74,109,22,1.7,0,0,0.05,0.15,0.002,0,0,0,0.0001,0,0
GR040,KZGPI- 1990,"Ikan layur, segar","Ikan, Kerang, Udang",Tunggal/Single,80.1,82,18,1,0.4,0,0.048,0.229,0.0022,0,0,0,0,0,0
GR041,KZGMI-2001,"Ikan lehoma, segar","Ikan, Kerang, Udang",Tunggal/Single,77.6,90,20.4,0.9,0,0,0.088,0.27,0.0007,0.056,0.281,0.0003,0.0003,0,0
GR042,DABM- 1964,"Ikan lemuru, segar","Ikan, Kerang, Udang",Tunggal/Single,76,112,20,3,0,0,0.02,0.1,0.001,0,0,0,0.0001,0,0
GR043,KZGPI- 1990,"Ikan lidah, segar","Ikan, Kerang, Udang",Tunggal/Single,78.3,104,15.6,3.2,2,0,0.03,0.143,0.002,0,0,0,0,0,0
GR044,KZGMI-2001,"Ikan malalugis, segar","Ikan, Kerang, Udang",Tunggal/Single,75.6,99,20.6,1.4,0.9,0,0.164,0.33,0.0005,0.076,0.282,0.0002,0.0003,0,0
GR045,KZGMI-2001,"Ikan mamar merah, segar","Ikan, Kerang, Udang",Tunggal/Single,75,115,15.3,4,4.4,0,0.06,0.19,0.0016,0.12,0.24,0.0002,0.0002,0.0001,0
GR046,DABM- 1964,"Ikan mas, segar","Ikan, Kerang, Udang",Tunggal/Single,80,86,16,2,0,0,0.02,0.15,0.002,0.065,0.2767,0.0001,0.0001,0.0001,0
GR047,KZGPI- 1990,"Ikan mayong, segar","Ikan, Kerang, Udang",Tunggal/Single,78.2,97,17.9,2,0.4,0,0.04,0.1,0.0025,0,0,0,0.0001,0,0
GR048,KZGPI- 1990,"Ikan mujahir, segar","Ikan, Kerang, Udang",Tunggal/Single,79.7,89,18.7,1,0,0,0.096,0.209,0.0015,0.051,0.2658,0,0,0.0001,0
GR049,KZGMI-2001,"Ikan nasu metti, segar","Ikan, Kerang, Udang",Tunggal/Single,65.3,154,16.8,5,10.5,0,0.08,0.244,0.0016,0.421,0.488,0.0002,0.0005,0.0002,0
GR050,KZGMI-2001,"Ikan oci, kembung, segar","Ikan, Kerang, Udang",Tunggal/Single,71.4,125,21.3,3.4,2.2,0,0.136,0.069,0.0008,0.214,0.245,0.0002,0.0003,0,0
GR051,DABM- 1964,"Ikan paling, segar","Ikan, Kerang, Udang",Tunggal/Single,58,303,14,27,0,0,0.02,0.2,0.001,0.043,0,0,0.0001,0,0.002
GR052,KZGMI-2001,"Ikan papuyu/ betok, segar","Ikan, Kerang, Udang",Tunggal/Single,75,120,14.3,4.9,4.6,0,0.329,0.436,0.0015,0.24,0.169,0.0008,0,0.0001,0
GR053,KZGMI-2001,"Ikan patin, segar","Ikan, Kerang, Udang",Tunggal/Single,74.4,132,17,6.6,1.1,0,0.031,0.173,0.0016,0.077,0.346,0.0007,0.0002,0,0
GR054,KZGMI-2001,"Ikan pomo, segar","Ikan, Kerang, Udang",Tunggal/Single,68.3,147,22.5,5.2,2.6,0,0.08,0.23,0.0013,0,0.38,0.0002,0,0,0
GR055,KZGMI-2001,"Ikan puntin, segar","Ikan, Kerang, Udang",Tunggal/Single,81.1,76,14.4,1.1,2.2,0,0.028,0.166,0,0,0.325,0.0001,0.0003,0.0001,0
GR056,KZGMI-2001,"Ikan saluang, segar","Ikan, Kerang, Udang",Tunggal/Single,74.8,113,13.9,4.9,3.4,0,0.642,0.646,0.0019,0.051,0.182,0.0008,0.0002,0,0
GR057,KZGMI-2001,"Ikan sarden, segar","Ikan, Kerang, Udang",Tunggal/Single,72.7,109,19.9,1.8,3.4,0,0.095,0.597,0.0013,0.266,0.227,0.0003,0.0003,0,0
GR058,DABM- 1964,"Ikan selar, segar","Ikan, Kerang, Udang",Tunggal/Single,75.4,100,18.8,2.2,0,0,0.04,0.179,0.0005,0.043,0.3926,0.0001,0.0004,0.0002,0
GR059,KZGMI-2001,"Ikan sepat, segar","Ikan, Kerang, Udang",Tunggal/Single,78.8,84,15.2,0.6,4.7,0,0.068,0.171,0.0021,0.211,0.198,0.0007,0.0002,0,0
GR060,KZGPI- 1990,"Ikan sidat, segar","Ikan, Kerang, Udang",Tunggal/Single,71.3,81,11.4,1.9,3.8,0,0.118,0.174,0.003,0.046,0.2459,0,0,0.0004,0
GR061,KZGMI-2001,"Ikan sunu, segar","Ikan, Kerang, Udang",Tunggal/Single,75.5,111,13.3,3.4,6.7,0,0.086,0.174,0.0012,0.091,0.197,0,0.001,0.0001,0
GR062,KZGMI-2001,"Ikan tahuman, segar","Ikan, Kerang, Udang",Tunggal/Single,77.4,88,15.9,0.9,4.1,0,0.221,0.223,0,0.024,0.364,0.0004,0.0002,0.0003,0
GR063,KZGMI-2001,"Ikan tarmon, segar","Ikan, Kerang, Udang",Tunggal/Single,76.7,96,19.5,1.1,2,0,0.009,0.129,0.0003,0.043,0.154,0.0001,0.0002,0,0
GR064,KZGMI-2001,"Ikan telan, segar","Ikan, Kerang, Udang",Tunggal/Single,75.3,95,15.8,0.7,6.5,0,0.503,0.354,0.0002,0.058,0.294,0.0016,0.0002,0,0
GR065,DABM- 1964,"Ikan tembang, segar","Ikan, Kerang, Udang",Tunggal/Single,65,204,16,15,0,0,0.02,0.2,0.002,0.341,0.291,0.0004,0.0001,0,0
GR066,KZGMI-2001,"Ikan tempahas, segar","Ikan, Kerang, Udang",Tunggal/Single,78.9,101,15.1,4.1,1,0,0.032,0.163,0,0.05,0.32,0.0007,0,0.0001,0
GR067,KZGMI-2001,"Ikan terbang, segar","Ikan, Kerang, Udang",Tunggal/Single,76.1,98,19.6,1.7,1,0,0.09,0.19,0.0006,0.09,0.32,0.0001,0,0.0001,0
GR068,KZGPI- 1990,"Ikan teri, segar","Ikan, Kerang, Udang",Tunggal/Single,80,74,10.3,1.4,4.1,0,0.972,0.253,0.0039,0.554,0.1261,0.3052,0.0002,0.0001,0
GR069,KZGMI-2001,"Ikan titang, segar","Ikan, Kerang, Udang",Tunggal/Single,78.8,82,17.4,0.4,2.3,0,0.145,0.13,0.0018,0.11,0.275,0.0001,0.0006,0,0
GR070,KZGMI-2001,"Ikan tongkol, segar","Ikan, Kerang, Udang",Tunggal/Single,74.7,100,13.7,1.5,8,0,0.092,0.606,0.0017,0.202,0.227,0.0002,0.0004,0,0
GR071,KZGMI-2001,"Ikan turi, segar","Ikan, Kerang, Udang",Tunggal/Single,76.9,96,19.2,2,0.2,0,0.34,0.34,0.0008,0.37,0.3,0.0001,0,0,0
GR072,DABM- 1964,"Keong, segar","Ikan, Kerang, Udang",Tunggal/Single,81,64,12,1,2,0,0.217,0.078,0.0017,0.231,0,0.0004,0,0,0
GR073,DABM- 1964,"Kepiting, segar","Ikan, Kerang, Udang",Tunggal/Single,68.1,151,13.8,3.8,14.1,0,0.21,0.25,0.0011,0,0,0,0.0001,0,0
GR074,KZGPI- 1990,"Kerang, segar","Ikan, Kerang, Udang",Tunggal/Single,78.2,101,14.4,2.6,3.9,0,0.321,0.27,0.0156,0,0,0,0,0,0
GR075,DABM- 1964,"Kodok, segar","Ikan, Kerang, Udang",Tunggal/Single,81.9,73,16.4,0.3,0,0,0.018,0.147,0.0011,0,0,0,0.0001,0,0
GR076,DABM- 1964,"Kura-kura, segar","Ikan, Kerang, Udang",Tunggal/Single,80,83,19.1,0.2,0,0,0.027,0.087,0.0007,0,0,0,0.0002,0,0
GR077,KZGPI- 1990,"Kuro, segar","Ikan, Kerang, Udang",Tunggal/Single,79.9,87,16,2.2,1,0,0.075,0.136,0.001,0,0,0,0,0,0
GR078,KZGMI-2001,"Lokan, segar","Ikan, Kerang, Udang",Tunggal/Single,80.9,217,11,1.7,5.1,0,0.02,0.39,0.0109,0.003,0.007,0.0002,0.0005,0.0001,0
GR079,KZGMI-2001,"Rajungan, segar","Ikan, Kerang, Udang",Tunggal/Single,80.2,76,12.1,2,2.4,0,0.721,0.214,0.0022,0.069,0.192,0.0017,0.0002,0.0003,0
GR080,DABM- 1964,"Rebon, udang kecil, segar","Ikan, Kerang, Udang",Tunggal/Single,79,81,16.2,1.2,0.7,0,0.757,0.292,0.0022,0.169,0.2029,0.0007,0,0.0001,0
GR081,KZGPI- 1990,Rusip,"Ikan, Kerang, Udang",Tunggal/Single,58.5,110,11.5,2,11.7,0,0.479,0.348,0.0071,0,0,0,0,0,0
GR082,KZGMI-2001,"Udang galah, segar","Ikan, Kerang, Udang",Tunggal/Single,79,81,16.5,0.3,3,0,0.087,0.167,0.0007,0.095,0.132,0.0007,0.0002,0,0
GR083,KZGMI-2001,"Udang, besar, segar","Ikan, Kerang, Udang",Tunggal/Single,85.5,56,11.4,0.6,1.2,0,0.03,0.02,0.0003,0.19,0.21,0.0004,0.0001,0,0
GR084,DABM- 1964,"Udang, segar","Ikan, Kerang, Udang",Tunggal/Single,75,91,21,0.2,0.1,0,0.136,0.17,0.008,0.178,0.2224,0.0003,0,0.0004,0
GP001,KZGPI- 1990,"Bekicot, dendeng, mentah","Ikan, Kerang, Udang",Olahan/Produk,6.7,441,48.7,20.3,15.8,0,0.692,0.523,0.0166,0,0,0,0,0.069,0
GP002,KZGPI- 1990,"Belut, goreng","Ikan, Kerang, Udang",Olahan/Produk,11.2,417,25.9,19.4,32,0,0.84,0.872,0.0049,0.071,0.2177,0.0003,0,0.0002,0
GP003,KZGPI- 1990,"Cumi-cumi, goreng","Ikan, Kerang, Udang",Olahan/Produk,54.2,265,40.6,10.1,0,0,0.062,0.27,0.0027,0.086,0.0819,0,0.0001,0,0
GP004,DABM- 1964,"Ikan asin, kering","Ikan, Kerang, Udang",Olahan/Produk,40,193,42,1.5,0,0,0.2,0.3,0,0,0,0,0,0,0
GP005,KZGPI- 1990,"Ikan bandeng presto, masakan","Ikan, Kerang, Udang",Olahan/Produk,45.3,296,17.1,20.3,11.3,0,1.422,0.659,0.0019,0,0,0,0.0001,0,0.069
GP006,KZGMI-2001,Ikan baung bakar,"Ikan, Kerang, Udang",Olahan/Produk,69.8,144,17.8,5.8,5.2,0,0.018,0.169,0,0.168,0.236,0.0001,0,0,0
GP007,KZGMI-2001,Ikan Belida bakar,"Ikan, Kerang, Udang",Olahan/Produk,68.2,128,18,3,7.2,0,0.058,0.134,0,0.293,0.198,0.0001,0.0018,0.0002,0
GP008,KZGMI-2001,"Ikan cakalang asap,mentah","Ikan, Kerang, Udang",Olahan/Produk,56.9,204,34.2,5.6,1.9,0,0.014,0.399,0.0013,0.176,0.588,0.0003,0.0005,0.0001,0
GP009,KZGPI- 1990,"Ikan cakalang asin, mentah","Ikan, Kerang, Udang",Olahan/Produk,41.7,198,36.5,2.2,5.5,0,0.236,0.346,0.0037,4.304,0.3021,0,0.0001,0,0
GP010,KZGPI- 1990,"Ikan calo/ peda, mentah","Ikan, Kerang, Udang",Olahan/Produk,71.3,81,11.4,1.9,3.8,0,0.743,0.174,0.0226,0,0,0,0,0,0
GP011,KZGMI-2001,"Ikan Gabus asap, mentah","Ikan, Kerang, Udang",Olahan/Produk,26.4,261,38.1,2.3,21.9,0,2.51,1.84,0.0029,0.32,0.41,0.0004,0.0001,0.0001,0
GP012,DABM- 1964,"Ikan Gabus, kering","Ikan, Kerang, Udang",Olahan/Produk,24,268,58,4,0,0,0.015,0.1,0.0001,0,0,0,0.0001,0,0
GP013,KZGMI-2001,"Ikan gete, goreng","Ikan, Kerang, Udang",Olahan/Produk,44.7,267,23.1,19.4,0.2,0,2.34,1.24,0.0008,0.59,0.44,0.0001,0,0,0
GP014,KZGMI-2001,"Ikan hiu, kering","Ikan, Kerang, Udang",Olahan/Produk,23.1,298,46.3,3.6,20.2,0,0.335,0.846,0.0025,0.957,1.457,0.0005,0.0008,0.0001,0
GP015,KZGPI- 1990,"Ikan katombo, asin","Ikan, Kerang, Udang",Olahan/Produk,44.7,162,31.7,2.8,0.3,0,0.279,0.609,0.0046,4.393,0.3422,0.0028,0.0001,0,0
GP016,KZGMI-2001,"Ikan kayu, kering","Ikan, Kerang, Udang",Olahan/Produk,23.1,302,70.7,1.9,0.4,0,0.313,0.022,0.0041,0.345,1.045,0,0.0014,0,0
GP017,KZGMI-2001,Ikan Lais bakar,"Ikan, Kerang, Udang",Olahan/Produk,69.4,147,17.5,6.5,5.4,0,0.054,0.194,0.0001,0.142,0.209,0,0,0,0
GP018,KZGMI-2001,"Ikan lomak asin, mentah","Ikan, Kerang, Udang",Olahan/Produk,21.6,258,40.3,2.3,18.9,0,0.14,0.279,0.0023,6.227,0.4851,0.0023,0.0001,0.0003,0
GP019,KZGPI- 1990,Ikan Mas pepes,"Ikan, Kerang, Udang",Olahan/Produk,57.5,209,15.2,11.3,11.8,0.5,0.686,0.53,0.0061,0.074,0.2767,0.0001,0.0001,0.0001,0
GP020,KZGPI- 1990,Ikan mujahir goreng,"Ikan, Kerang, Udang",Olahan/Produk,44.7,416,46.9,23.9,0,0,0.346,0.654,0.0009,0.054,0.2789,0,0.0001,0.0001,0
GP021,KZGPI- 1990,Ikan Mujahir pepes,"Ikan, Kerang, Udang",Olahan/Produk,73.7,121,21.7,2.8,0.8,0,0.083,0.248,0.0016,0.058,0.2658,0,0,0.0001,0
GP022,KZGPI- 1990,"Ikan mujahir, dendeng, mentah","Ikan, Kerang, Udang",Olahan/Produk,15.2,582,68.3,15.2,37.2,0,3.258,1.699,0.0043,0,0,0,0.0003,0,0
GP023,KZGMI-2001,"Ikan Papuyu, bakar","Ikan, Kerang, Udang",Olahan/Produk,66.6,152,17.6,6.1,6.7,0,0.244,0.227,0.0034,0.32,0.224,0.0002,0,0,0
GP024,KZGMI-2001,"Ikan Patin, bakar","Ikan, Kerang, Udang",Olahan/Produk,70.3,144,17.5,6.3,4.3,0,0.191,0.232,0.0014,0.379,0.23,0.0001,0,0,0
GP025,DABM- 1964,"Ikan peda banjar, mentah","Ikan, Kerang, Udang",Olahan/Produk,46,156,28,4,2,0,0.174,0.316,0.0031,0.059,0.3688,0,0.0001,0.0001,0
GP026,DABM-33,"Ikan pepetek, mentah","Ikan, Kerang, Udang",Olahan/Produk,176,32,4.4,2,0,28.6,0.2,0.001,0.079,0.001,0,0,0.0001,0.0024,0
GP027,DABM- 60/64,"Ikan Pindang banjar, mentah","Ikan, Kerang, Udang",Olahan/Produk,59,157,28,4.2,1.8,0,0.05,0.1,0.001,0,0,0,0.0001,0,0
GP028,DABM- 60/64,"Ikan Pindang benggol, mentah","Ikan, Kerang, Udang",Olahan/Produk,57,170,31,4.2,0,0,0.05,0.1,0.001,0,0,0,0.0001,0,0
GP029,DABM- 60/64,"Ikan Pindang layang, mentah","Ikan, Kerang, Udang",Olahan/Produk,60,153,30,2.8,0,0,0.06,0.2,0.003,0,0,0,0.0001,0,0
GP030,DABM- 60/64,"Ikan Pindang selar, mentah","Ikan, Kerang, Udang",Olahan/Produk,60,142,27,3,0,0,0.06,0.2,0.003,0,0,0,0.0001,0,0
GP031,BKP,"Ikan sale, mentah","Ikan, Kerang, Udang",Olahan/Produk,8.5,534,40.2,39.3,4.9,2,0.199,1.244,0.0027,0.673,0.673,0.0003,0,0.0005,0
GP032,KZGPI- 1990,"Ikan sale lais, mentah","Ikan, Kerang, Udang",Olahan/Produk,12.4,415,61.3,17.6,2.9,0,0.258,0.919,0.007,0.381,0.488,0.0176,0,0.0001,0
GP033,KZGMI-2001,"Ikan saluang, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,33.6,284,34.1,9.9,14.6,0,1.426,1.103,0.0095,1.767,0.263,0.0013,0.0005,0,0
GP034,KZGMI-2001,"Ikan sanggang, masakan","Ikan, Kerang, Udang",Olahan/Produk,42.6,240,21.7,7.7,20.7,0,0.159,0.362,0.0098,2.041,0.159,0.0015,0.0005,0,0
GP035,DABM- 1964,"Ikan selar kuning, cue, mentah","Ikan, Kerang, Udang",Olahan/Produk,59,138,27,3.3,0,0,0.05,0.1,0.002,0,0,0,0.0001,0,0
GP036,DABM- 60/64,"Ikan selar, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,43,194,38,3.5,0,0,0.02,0.2,0.001,0,0,0,0,0,0
GP037,DABM- 60/64,"Ikan sepat, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,30,289,38,14,0,0,0.04,0.1,0.0007,0,0,0,0,0,0
GP038,KZGMI-2001,"Ikan sunu, asin, mentah","Ikan, Kerang, Udang",Olahan/Produk,34.7,199,34.1,3.8,7.1,0,0.094,0.092,0.0022,0.377,0.057,0.0001,0.0015,0.0001,0
GP039,KZGPI- 1990,"Ikan, tepung, mentah","Ikan, Kerang, Udang",Olahan/Produk,4.3,316,60.1,6.5,22.4,0,3.196,1.976,0.0166,0,0,0,0,0,0
GP040,DABM- 60/64,"Ikan Teri nasi, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,34.5,144,32.5,0.6,0,0,1,1,0.003,0.312,0,0,0.0001,0,0
GP041,DABM- 60/64,"Ikan Teri, bubuk, mentah","Ikan, Kerang, Udang",Olahan/Produk,15,277,60,2.3,1.8,0,1.209,1.225,0.003,0,0,0,0.0001,0,0
GP042,DABM- 60/64,"Ikan teri, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,37.8,170,33.4,3,0,0,1.2,1.5,0.0036,0,0,0,0.0002,0,0
GP043,DABM- 60/64,"Ikan Teri, kering, tawar, mentah","Ikan, Kerang, Udang",Olahan/Produk,16.7,331,68.7,4.2,0,0,2.381,1.5,0.0234,0,0,0,0.0001,0,0
GP044,KZGPI- 1990,"Ikan Teri, tepung, mentah","Ikan, Kerang, Udang",Olahan/Produk,5.2,347,48.8,6.4,19.6,0,4.608,1.2,0.0186,0,0,0,0.0011,0,0
GP045,KZGMI-2001,"Kerang, asap, mentah","Ikan, Kerang, Udang",Olahan/Produk,9.3,393,38.9,13.3,29.4,0,0.42,0.41,0.0085,0.16,0.05,0.0006,0.0003,0.0017,0
GP046,KZGPI- 1990,"Kerang, dendeng, mentah","Ikan, Kerang, Udang",Olahan/Produk,18.3,357,41.1,10,25.6,0,0.217,0.904,0.0052,0,0,0,0.0003,0,0
GP047,DABM-60/64,"Rebon, kering, mentah","Ikan, Kerang, Udang",Olahan/Produk,21.6,299,59.4,3.6,3.2,0,2.306,0.625,0.0214,0,0,0,0.0001,0,0
GP048,KZGMI-2001,"Rebung laut, mentah","Ikan, Kerang, Udang",Olahan/Produk,18.2,320,7.2,4.2,63.3,0,0.24,0.57,0.0066,0.02,1.04,0.0015,0,0,0
